ID,Tweet,Sentiment Polarity
24809,soch logo ghatiya garibo mar,negative
12827,modi jisk pass zameen haius kisan samman nidhi yojna diya salana dene,neutral
6161,thank much dato inshallah celebr star tonight ynwa,neutral
20134,london join tomorrow open night new exhibit network knowledg showcas institut librari,neutral
18960,chutiya gandu cogress harn wali pata itn buti tarah haarnegi nahi pata lavd,negative
2018,arey bhau budget kaam hain na lonavla direct goregaon filmciti mein laga hain,positive
42965,manaya goyal avdhesh dubi jail mein dil diya kripya traino mein polic loot,negative
21441,sauru intend joke funni sens humour anyway crazi kid,neutral
32574,cute love two,neutral
617,ji shree mataji pranam seen mukhya mantri bank ashirwad ji shree,neutral
20345,abhi voic proud love modi final make digit india,positive
39591,baatein khatam ni hoti baat ni hoti wali journey less hurt leav reason,neutral
7613,hello kon ident side west bengal countri,negative
38713,pramod acharya padvi ki gadh acharya nahi sakt tumko kaisa,negative
35265,bhi ajay good last movi point taken great continu,positive
15010,sir meri wife hafta hospit chakkar lagt doctor medisen nahi,neutral
34399,kuti harami namak harami geo back afgan,negative
266,govt kamalnath wais video viral jism aapk shantidut bhi dukandar,negative
16713,besharam kitna baar tappad kayega tumara anti nation hindu muslim dukan bhand hogaya bunt,negative
28907,fake video andh bhakt forc circul increas popular rate,negative
22798,love smell back home dharan,positive
26042,hell yeh mean pepsi vanilla come back miss much,neutral
36095,digvijay ais chunav harn tension dusra tension sant,neutral
23804,happi happybirthdaysonakshisinha,positive
14239,airport vimlesh apna vada nahi nibha rahe pehl kaha purchas land stamp,negative
21196,hamari raksha bhagwan sakta jahan system sarkar aaropiyon bacha,neutral
34663,congratul prime minist victori want back final back prachand bahumat,positive
29280,iska video audio dekhna nahi bewakuf aadmi isn,negative
31391,wtf pretti eye eye fuck eye video actual annoy imagin ignor shit,negative
37666,bad iqbal shaheeno advanc send karn dhora,neutral
14014,apni taraf aan wali takleefon apn gunahon saza mat samjhna mera allah bohot mehrban badl nahi,positive
40785,light abhi shuru nahi match uclfin delhi upar garmi alag mar rakhi,negative
20844,rahul gandhi chowkidar chor nara bahut bhari koi khud bail,neutral
24005,stuff salman continu fuck chindiwaali filmfar best luck mote bhain,negative
39372,saazish sakti bahut badi halk na sarkar sena dono kyu bola usn aisa isko gira,neutral
23837,better charm person swag yessa hero jiski villain role sabs jyada popular hoti,positive
23830,sir oonki aadat shumar hbycot media deshwas pata chalegaki gandi nali,negative
42705,kyu mamatabanrje ravan tarah apn bhagwan samajhn ais logo,negative
39643,waqi bohot bara harami nahi waldo zeena paidawaar teri mein tang,negative
10743,congratul hounarbl prime minist shri narendar damod dass modi sabi bharat wasi yahi kaman,positive
38950,give free place oper offici weatherman behalf ha,neutral
12785,kesi log log tumh pakistan mustakbil phir rhi mulk bando galiya shame,negative
17244,agar kaisa naam entertain kare apna pit bharta usm buri nahi bohot sare,neutral
29990,rail mantri tatkal ticket charg kyu lagta sarkari loot band honi chahiy,negative
25861,vale madr neta ni siquiera intent,negative
33081,gaze movi banay modi love dolli class fifth kahani,neutral
16812,grad walk kid excit yeto graduat senior,neutral
15664,possibl sabhi situatiin dekhn bad sari logic result jane bad aisa hona,neutral
30624,ordin tir karna dictatorship har manniy mehnat kare agay nahi pata nahi phir hoga,positive
37106,work hard come back strongli allha plan inshallha rock best wish,positive
20437,india shri narendra modi banan bahut bahut badhai patel advoc faizabad,positive
18938,nonsens pehl shrenu,negative
24194,fake love wors real hate,neutral
16052,starr gadho baato obama presid presid nahi usney badhai sindh nahi bheje,neutral
22350,sir sirf apka news channel dekhta apka channel alway sachhai news dekhta,positive
9187,samay samay baat rathe modiisnodivid timemagazin ispr boln himmat,neutral
23489,faida nahi bhaiya chutiy autom messag bhejt raheng,negative
6838,sparkler hoke mr koistinen retir bless thank done,positive
32635,tintin lindsay freak geek love would die cool liter mind busin,neutral
25888,congress parti media bablu dhamki dete khud govern,negative
30450,mirza kyun matlab english zuban mein kart hain unki qabool nahi hoti gayi allah,negative
22605,jyada bjp fake whatsapp websit advertis heir kare rakh modi tujs umid na,negative
3570,satput awaaz ghai level,neutral
41232,khan modi liy nhe bulaya agar khan aajayeng indian media modi kochour,neutral
13198,happi birthday fluke wish good health kharab project come life full bounti,positive
15967,desh kareeb crore muzlim pure desh sirf crore vote mile matlab wanha,neutral
9323,best moment prithvi singh say launda seriou total love,positive
10337,swear person fav walla noth without life realli grate sist,positive
9341,apn kaam kya iss inkaar nahi sakta lekin aapko vote isliy nahi diya kyuki apn itn galat decisi,positive
45057,extra big parang pagmamah sakanya ha aay love zsazsapadilladiva divaustour,positive
27797,thoda aukat dekh lena chahiy apna tujhs kuch nahi sakta king,negative
8642,hume gaurav shriman pm modi jaisa new hindsthan sath,neutral
9329,qanoon fitrat social system khuda design kya mard agay chalna,positive
15582,taseer happi birthday shahe baba spread messag human great human,neutral
8206,dramebaaz yeh want power anyway dhongi perfect,neutral
3197,ha allah aesi maulana sahab kaum hifazat farmay mudd uthan nahi,positive
19159,kutt bach haram khoon zeena aulad pakistan topic debat,negative
1132,sunoo bjp ticket diy vote ni diya logo vote doge cong,negative
20234,mowglu mere roney meri maa bahut khush mere roney meri maa bahut khush,positive
38348,kabhi apn paiso safai randi nachwa dete aisa nahi hota humesha sarkari mil udan,negative
25280,around corner wait pyari pyari colour choorian,neutral
24029,swaraj apni bhasha sayam rakh,neutral
591,btaega iss pucho tere jiyn usm ganga hindu konsa teri muslim awaadi wale geo,neutral
16289,command ladkiyan cigarett pti kitni attract lagti,neutral
35703,chahiy hisab allah pak khud kri inshallah pehl thought shia peop,neutral
25889,spirit anjali vais iska dhobi kutta jaisi abhi kadar nahi rahe,positive
18276,time studi bohot mahangai hoti rahi agar studi mahangai jayengi jais logh padh nahi payeng,negative
19112,ism kaha pata lag raha modi log matlab hindu kisi musalman mere bjp,neutral
27339,ha funni caus true,neutral
13890,great guy back,positive
2372,need major time he,neutral
17808,rehn dijiy rubika bechara bada educ knowledg lagta regard social media,neutral
20315,tumhari samajh bahar cheez apn ghutno jyada mat dalo kitchen,negative
9555,lol modi interview ha dhokebaaz modi,negative
19384,bjp seat agl registr free maa bharti,positive
41535,zindabad bjp defeat nahi sakta chahe jitna bhrashtachar karo murder polit jayaz,negative
14182,ah nice allah grant salah main everyth next life ameen life allah strip,positive
29827,jahalat nahi kya masoom bachhon aid hori hiv vaba shakal akhtar chu,neutral
7703,bakwa much love friendship peopl forget,neutral
20063,blockbust seri watt lagay bahubali lo usko flop karwa dega,neutral
44779,sir log randi bharuaa nahi sale harami log deshdrohi galat word esiliy nikalta,negative
28270,teri jalri tujh mtlb katrina maha fudu actress admit karl,negative
19200,two surat employ two even mail resum jayegi aapko naukri,neutral
2877,chootiya like keep increas bakchodi band,positive
8940,two sindhi saan lene hawa nahi chora sakog fan dur baat,positive
3438,sir kadi mehnat muqaam pradesh desh mila pranam aapko rajeev mishra maharaj bjp uttar pradesh,positive
14498,pakistan captain statement sach sabit pehla match buri tarah har sarfaraz,negative
577,thing ppl ador want transact give take,neutral
26081,khelna chod dega dekhna chod deng love infin msdyn dhoni thala,positive
13240,isk zimmedar harami maulana algaowadi neta apn bachhon foreign mein,negative
39403,ofcours haram khor unlik leader certifi chor,negative
14078,uncl chutiya banaya video doctor aapk modi prem dekht aapko bheja,negative
15839,welfarebydssvolunt walk path human shown saint gurmeet rahim singh insan dera,neutral
30024,huyyyyyi yung crush sabi naya saken wait pota felt harrrd,neutral
19928,india aapki shahdat shat shat naman vand mataram bharat mata,positive
40753,chawal log intahai chawal log phir aati hain log bakwa rahe hain logon,neutral
22514,keseringan turun pozo jadinya,neutral
14628,khane matra bench sthagit diya gaya mediat introduc diya sarvsah,neutral
34236,asal mein nay khiyalat hain islam taleem musalman faraz taleem nahi,neutral
25608,hit paji bana kisi dear hamesha sach samn lete yahi,neutral
12145,play yoosung rout cinnamon roll heaaarttttttt babi must proteccccccc,positive
4579,bharat favorit human bajrangi sultan salman khan film bharat june dekhna na bhole,positive
15493,modiji dhanyavad suresh prabhuji prathna well pleas ignor thank sushma,neutral
9239,kind word chang someon entir wait love smile long,positive
37566,agarw elect jais bjp elect jata prakat gaya aaltu faltu,negative
37829,fahad mustafa pure pakistan truck beti pich lagadia hain awam subhanallah milna,negative
40240,sanskari bohot sanskari phir aat fuck likht hsoo sanskari,positive
32512,meerut jashn main jais mera mullo hindu delhi beti bchane,neutral
39695,ayushmann bhi salut ghajab brave attempt,positive
30098,makind agebeeka good good mean level asha,positive
33854,sharma ladkiyan khud kuch effort nahi karti kehti singl launda nahi itni,neutral
23264,found awesom record mein teri mohabbat mein pagal jaunga smule,neutral
26976,bewakuf orat kuch nahi agar orat wesey fake account yeh,negative
13051,yuvaou chaht mourya pradesh bhari jeet liy bahut bahut badhai dher sari shubh kamini,positive
41167,upenderji kanha khoon nadi rahe hain lovi yahi hota bjp aapko mini,negative
43079,media sahi kaam karti na sir govt januari mein report deta lekin media hindu muslim,neutral
33114,ha look talk jhoot maut bimaar bahar baithay hain,negative
41743,best anim best superhero film ever made favorit away aint wrong,positive
18895,hindustan futur asar padn wala nahi mujh nahi lagta kyu aadmi nation,neutral
27995,look forward insha allah,neutral
11045,taran adarsh comparison apna,neutral
28679,karwahi nahi rahi marn dhamki rahi sarkar manwar yogi aadath nath,negative
29288,sir mhasachiv banay modi bolti band deng,negative
18768,intens dear jodi time love know next scene like great,neutral
30144,pradhan panauti south africa apn lapet diya ugla number kaisa,neutral
25742,visva rohit raha teri khopdi etn ched kareng teri khopdi khopdi nahi,negative
40864,hindu aukat dekha logo anti nationalist shoot azadi deni chahiy,negative
37091,khuda naam nabi naam cheez twist karlo sauda emir,neutral
20445,neutral,neutral
20748,celebr gaya flop actor pehchanta nahi,negative
22752,sir aapko apna hero adarsh maanta aaps purana dudak desh hit,positive
2848,isko chupk rakho bjp ticket na de isko,neutral
26035,paresh siddiqui apn baap yakub menon sunkar chup bsdk padi,negative
37848,jaishankar bhi jyada akadna mat tera baap minist bana hain nahi thank,neutral
24285,jhaadu jappi hope make feel better,positive
15624,isko gay bolk tune lgbtq walo insult,negative
8259,girl like echt leuk nummer komt opeen die schijt cardi sorri mar hoezo niemand,neutral
8193,great job ignor ramzan samay pura bhukh rakh,positive
30128,lekin ganga maa bolti modi jate anti nation,neutral
21889,wajjo khan sweet zarur zarur inshallah,positive
1366,nice see glow peopl congrat guy wohooo baybeee tire year,positive
24996,radhamohansingh congratul bahut bahut badhai subhkamnay,positive
12576,chai bachana sharam baat nahi tere jais kaamchor nithalley vellley bu pappu,negative
13134,lekin tumh matlab baat isliy nahi chalti kyuki,negative
44556,nahi chor sale jate ach kaam wajah jate harn bari ayi,negative
18878,bakchodi seema hoti kuch behen jaisa mein thappad mera sare bjp wale,negative
27542,delet chutiyapa inhi cancer cheezo karan main nahi banaya account,negative
40622,teri loda haram lode condom pedaish sale kutt baaj,negative
21817,pakpass bhi unk samn starc cummin coulter nile best pace bowli,positive
13499,yadav,neutral
41772,log opposit mein kisliy tweet karn dil sashti jayegi itni har chuki frvi samajh mein,negative
30985,ji shri slogan hooligan kashmir agar rehna allah akbar kehna slogan revolut,negative
7483,hindustan mein hindu muslim dusr dushman kabhi nahi kuch polit,positive
36584,mina ngimel kuthi ngibe mili knife lento,neutral
17349,nazar tragic indefens love compass famili wish could offer,positive
4893,rishu aisehi log legend bura bhala bolt god cricket nh,negative
16234,congratul jeet proud final engin pennenggrad,positive
33156,polic shivratan ganj thana vyavstha dekhi jay yahan sunwai nahi hoti kisi sale paisa,negative
29542,dunia mein gatia gatia liy magar kabhi wow nice post thank share wali harkat nahi,neutral
32699,agli eidi bhejo na kamyab khud eidi tara rhi hain lora,positive
30721,hello sorri account nonaktif follow new account alya pleas unfollow thank,neutral
24649,bohot bad zaban wazeer ghatia aurat,negative
25711,mata kabhi maafi nahi milegi sirf maharashtra mein aak dekhiy kutt apn,negative
34848,ji hind sir mein prashant rathor aaps request karta hun pubg game india mein dena ch,neutral
21488,log hain jinko nawazmafia corrupt nazar nahi inkaay liya gaya qarza nazar nahi,negative
32440,yahi cheez lagu hoti patrakar madam sahiba ji tarah vipaksh bakhiya,negative
22380,actor advanc apolog life first inspir sir rustic imperson sir apki cousin,positive
5337,hindi nation languag modi leader god choic,negative
38175,lol saal hakumat muslim hindustan,negative
5139,jais kyu marega free entertain deta wais congress join kya,neutral
36000,sookh sir nice,neutral
23760,narendra modi take oath prime minist ji hind vand mataram,positive
24685,group banay jaha local peopl add taki crime nazar jagah,neutral
10263,kunal itn bhav mat kuch log apni aukat jyada uchhalt hain better ignor,neutral
19763,leay nawaz paisa nahi jald jaegi inshallah,positive
38074,salman khan majak media wrong news,positive
41950,shriman bohemia said tera pyar baki duniya bekar felt,neutral
4220,congress spokesperson debat batmizi kart unko nahi roka gaya har bad jawab din,neutral
2238,chub kutt awlad tere baap nahi sale india nepal,negative
35909,bologuruji mera ba ekhi sawal humesha puchta lekin pick kabhi nahi hoti umid pic,neutral
21984,artha behen lode isk jais sale chewtiya logo sabs pehl bengal chutiya kita angr,negative
7837,baki jinko fikar ni hoti apna balon mochan leti hain,neutral
13805,saturdaymotiv shri nanak sahab amritvani mahila pehla accept met guru form,positive
23477,aspir like insha allah,positive
33494,mch harnay bad sarfu bolta hain,neutral
1666,news channel walo apn imaan bech bjp advertis jeet,neutral
23503,world cup ni chahiy bu india harna maqsad allah,negative
43972,prachand jeet hardik subhkamnay pl rserv lane ambul,positive
12778,thik dekh nahi video huavideo start dhmka bola,negative
18177,smile felt good alreadi,positive
11381,na na boy play realli well meme explain pakvwi wivpak,positive
5949,zafar jake puntur bana gandh bech chal nikal idhar,negative
32442,tumlog rag alaapna band vand nahi bola desh drohi popul nahi,positive
23780,warrior di twitter account band kare bhag jayengi,positive
24247,schowdhuri tonight might laylathul kadar could give sadaqah jariyah tysm allah reward,positive
15699,kuti tarha tharki logo aag thark pan ni chord skti log larki,negative
22832,great piti organ dedic life almost year life unabl confirm,neutral
16697,garg comm thank recognit look forward work fortinet team power,positive
40405,karhiyoon mileya jay akhri karrahi mila baap roki zaruri nahi,negative
26806,origin audio bahadur shastri give slogan ji jawan ji kisan archiv,neutral
20054,exactli season old charm intact episod pata nahi ach khaas show band kyun,neutral
20224,gaze arushi kamin block jayega,neutral
41778,sir definit come home happi healthi waheguru khalsa waheguru fatah,positive
8509,raahat indori best jagat singh mushayra entertain,neutral
13527,jumma wida mubarak last friday ramadan bring peac prosper prayer,positive
15947,bhartiyo armi train kariy tabhi bharat fit sakta israel jaisa umid sath pehla vote kya,positive
17979,bhaiya tehtullafz segment best karta sunt hain rahain allah bless bhi,positive
19445,congratul happi ramzan bagir kutch kiy pay pure kais rahi hat,positive
19022,wrong blind follow defend wesi zartag abhi,neutral
39216,sale boxer vaha cricket team vala haal jett nahi fekt zydah hain,positive
4130,alfaaz sabit musalmano ehsaa zinda well done,positive
10779,chutiyapa chala rakha nahi faltu bakwa chalo hogyi coretard bana kuch samajh,negative
12934,sahab aisa suggest mat dijiy,negative
41735,akkian aditya true open na taboo bana diya saal,negative
26776,think debat show anchor like tera bhagwan modi mera chal bhaijaan kare modi,neutral
30645,gutteruddin kyu fake news faila apni maa behen krwana chahta yaha,negative
22351,pure desh mein jashn hona chahiy rocket meethayi street danc tarik celebr,positive
4174,kons log hote hain like kiyr baghear kart bare chawal hote,neutral
44966,chanakya modern india new home minist congratul amit shah terrorist sepa,neutral
22708,bedhadak agar kutton napak harkat pakistan duniya naks gayab hoga,negative
43687,enko italywali maa bataya bade dynasti hota karma nahi,neutral
41959,nahi dhoka gay media prachar tntra jisn modi jitaya hatao desh loktantra bacho,negative
12974,awaaz tujh jaisa bhadv dil sala apn,negative
15938,badha favorit word tera bhonk,negative
37005,yahan kharab itna kya fit vote nahi diya next time elect,negative
23179,want freak wanna free ho,neutral
13329,bhi kashmir shuruwat diy ji shri,positive
26009,modi mein dekh raha rahe mein chota main sitapur naam,positive
17151,allah bachaay pakistan ganjay chor nawaz sharif iski nasal,negative
19528,chahiy sindh govt banay nahi sindh kaha jayegi chor parti,negative
36779,behad khush,positive
24141,psychopath bakwa tweet karti badtameez dont respect plan want simpl girl,negative
36245,nach mere nagin paisa milega tmko nahi bacha payega doctor fake news,positive
38666,seen kare log mujh ignor krti msg,negative
40673,elect tough bjp,neutral
27549,sir jeet bahut bahut badhayi lekin surat hua usm dekha hoga fire,positive
13878,sahab garam hawa bad movi chu gayi aapki movi mulk hain kudo,positive
20687,lama ha isn mera churaya,neutral
35123,sahb confirm pehli jhoot rhi thi bad,neutral
3141,thank sir umid karta esko jarur solv kareng aapko,neutral
28675,ahi parang gusto yang free dinner graduat char,neutral
38758,congress bjp andh bhakt nahi aimim support karta khula karta,neutral
30167,tagda group aaplogo good nish,positive
16272,music life thank chote ustaad salman post instagram stori today salma,neutral
14541,didnt vote,positive
15644,good morn sohn satgur bless sewa simran parmarth today,positive
24016,two wasooli wale dhundt hain isko ghanta fan,negative
30772,sir result bad apka video nahi ralli debat nahi rahe hain cont,neutral
22579,gunshot ni magar pata pata lgi marri altaf bhi,neutral
18903,last chanc random tee incred price plu free ship plu,neutral
15597,haisiyat hawaldar fake jehadi barrist,negative
11360,feku aisa chika mera caught puri congress bada aaya modiji bahar fekn,neutral
6051,tech problem thank offer help,neutral
7272,hamyat khutta khor corrupt ganj kart thi ukhar unhon lanat tere patwari,negative
15506,allah makhlloq unki zahiri shikayat allah bnayi insan,neutral
15505,wah fave moot kita ho ilysm,positive
28003,good morn almighti papa plz bless famili sewa sumiran,positive
8667,sab baitanai,neutral
15845,god thank alway see matter mani time drift away never hold,positive
23949,sir road aay pehl twitter kheln kuch nahi hoga pehl street social media mein stream media,neutral
33480,verma apni ammi chu,negative
26681,thinker naam lene darta chor di tinka free thinker nahi nakarakmak thinker bhi,negative
21941,ranjini adhu enna best team win ynwa,positive
5383,smile jaan pyar dosti love friendship time parthsamthaan,neutral
1975,haramzad teri maa mere ameen haramzad teri biwi fauji fuck krien ameen,negative
14740,wish happi delight birthday sir alway favourit actor,positive
27965,hello bhaijaan big fan look bodi good hope bharat film superhit,positive
41984,step closer cong mukt bharat,neutral
31622,burnol gabbar hadi phekna band diya kutt khayeng,neutral
27520,modi renter new delhi pay month societi mainten mere landlord pass bahut,neutral
40671,patrakar sentido chamcha tuje nahi mathura ramzan lashi,negative
26951,thank much veerji constant encourag help raw musician start,positive
13248,khilaf shashtra andolan siwai chara nahi moolwasiy,neutral
15797,tm aashiqan rasool jumma mubarak,neutral
27175,faiz aukat itni uski tera lo gaand mar chali gayi bhokta rehja chal hit yaha,negative
11748,serif takay zaroorat baki,positive
39627,jungkook sincer hug presid korea beauti jungkook realli special heart love,positive
19938,best morn guru pl bless sewa simran,neutral
28472,dekhiy sream train kisi hatya kisi iska dhayan nahi aisi sewa nahi jism,neutral
15219,feku sala found tell first,neutral
42823,wonderrr love hana said,positive
22412,pranam pranamg oollth best truth truth love peac universel univers rainbow univ,positive
26591,nirmala sitharaman handl financ countri expect better loan women entrepreneur cut,positive
32751,mahila aayog karya work hmne gujarat dekha nahi,neutral
23040,hota galat hmne chor diya log,neutral
44175,jawab creat larger person imag mind order defend,neutral
13832,hear lag gale phir hassan raat na shayad phir janm mein mulakaat na feel,neutral
16803,offl bhaiya khud malba gira rahe dukh,negative
